sentence	label
Abandoned tarped over camper in roadway	Roadway or Sidewalk Issue
The metal railings adjacent to the water from America's Cup to the Newport Yacht Club across from the south side of the Marriott is in need of painting. In light of the city's interest in sprucing up before the Volvo Cup, this would be a good project before May.	Other
Abandoned tarped over camper	Roadway or Sidewalk Issue
The traffic lights on Admiral Kalbfus Rd in front of Newport Grand are not working properly. It seems the sensors aren't functioning and causing traffic to back up unnecessarily. Can this issue please be addressed? Thank you.	Other
All of Dartmouth Street was not picked up today. please send them to come get our stinky trash.
Thank You!	Missed Trash or Bulky Waste Collection
It's difficult to walk on this section of sidewalk. The tree blocks most of it and the roots and loose bricks are likely to trip someone.

As I was driving down Third Street yesterday an elderly person stepped intto the street to avoid it.	Roadway or Sidewalk Issue
There is a very large pothole on Summer Street on the right side coming up from Broadways before Arnold Ave. Cars are swerving to miss it and it’s going to cause an accident. I have hit it twice and worried I’ll get a flat tire. Fix it before someone gets hurt.	Pothole Issue
When is marsh Street going to get paved ?this project started in October 2017 it would be nice for everyone that lives or rents on the street to have this project complete and not drag on for another six months. They did a great job with the sidewalks but then work stopped extra curbs left on the median killing the grass cones and barrels left everywhere.	Roadway or Sidewalk Issue
Broken glass on shoulder of Ocean Ave near Brenton Point	Roadway or Sidewalk Issue
Street was re-paved two or three weeks ago but hold short lines were never repainted just witnessed a car go through intersection at 30 miles an hour because the stop sign is slightly too far to the right and no visible markings on Street indicating that there is a stop sign there	Traffic Sign/Pavement Marking Issue
Drain clogged Ocean Ave.	Storm Drain
Every garbage can at braga park has been overflowing for TWO days	Recreation Facility, Sports Field or Park Issue
trees from Murphy feild are growing over elderly mans home at the top of Richmond place. could someone please take a look at them and prune them back. Thank you	Recreation Facility, Sports Field or Park Issue
Many cars are traveling the wrong way on equality park west creating a dangerous situation. Most are out of state cars but some are local. A no left turn sign on Pond and a one way do not enter at the end of Equality park west facing Marcus Wheatland would solve the problem.	Traffic Sign/Pavement Marking Issue
Trash bag on shoulder of Ocean Av.	Missed Trash or Bulky Waste Collection
