sentence	label
No parking this side of street sign missing.	Traffic Sign Issue
Dangerous situation between five street lights out on Fourth Street.  A string of lights are out making the street very dark for the EIU students.	Street Light Issue
Out	Street Light Issue
Dangerous situation as this is an area used by students and the area is very dark.	Street Light Issue
Dangerous situation as this is an area used by students and the area is very dark.	Street Light Issue
Light on shuttle bus route is out.	Street Light Issue
Light has been out for over two months.	Street Light Issue
Pole is SW Corner of the Park on Lincoln or East of Division and Lincoln.	Street Light Issue
No number on South Pole in front of Real Estate Unlimited.	Street Light Issue
Street light out in front of Real Estate Unlimited.	Street Light Issue
Light out on SE corner.	Street Light Issue
STREE SIGN DOWN ON NW CORNER.	Traffic Sign Issue
This is a tricky one to report.  I believe this is an IDOT light on an extended pole.  I believe the City of Charleston is responsible for this light.	Street Light Issue
This light has been a problem for over a year.  It turns on and off during the night.  Some times is works fine for a month or two and then goes back to being on off again.  This is in front of the laundry.	Street Light Issue
The wire markers for marking water lines are losing the blue flags.  The plastic flags are coming undone during wind issues. This leaves a bare wire sticking in the ground.  This is ideal for a mower to spin the bare wires around into the tractor tires.	Water & Sewer Issue
No Parking this side sign can be found behind the dumpster's fence in the parking lot.	Traffic Sign Issue
Light out North side of Lincoln Street in front of Panther Laundry.	Street Light Issue
ID 1279877 was reported before that the sign was picked up.  I am sorry the sign got up and it walked away.  If one would go to the NE corner of Ikes;  the dumpster is the  East side.  Behind the dumpster is the sign.	Traffic Sign Issue
Light is off and on,  EIU shuttle bus report.	Street Light Issue
Danger, North edge of new sidewalk is a four foot sink hole.	Sidewalk Issue
What day is trash pickup for the 4th district? It was always on Thursday, but it wasn't picked up yesterday and last week, it was picked up Tuesday and Friday. I keep my garbage can inside my garage and take it on on collection day, but it has yet to be picked up.	Garbage Collection
There are potholes in the south bound lanes just north of the traffic light at Indpls Blvd & McShane	Pothole
Rubbish on vacant along the rear of vacant lot and alley	Rubbish Collection
these vehicles have been sitting here for at least two months without being moved plus there's one directly across the street in front of 1808 136th Street burgundy one that has not been moved either. location of these vehicles are right in front of the old library building is it a front of the art building these cars are across the street from 1808 136th Street and the burgundy one has been abandoned in front of 1808 136th Street these cars have been there for months and they're taking up residential parking	Abandoned Vehicle
Mattress in alley.	Rubbish Collection
The train tracks- especially going east  to Michigan avenue- are in horrible shape. Cars have to come to an almost complete stop to get over them - I have seen several near rear end collisions due to this spot. I have reported these tracks before- will it take a serious accident to get some action?	Pothole
Mattresses in alley	Rubbish Collection
Bags of leaves in the alley	Rubbish Collection
Mattresses in the alley	Rubbish Collection
This road is a mess! the hole in the middle has had this lane closed forever! Cars also turn left off of Dickey from the right lane- that's illegal but for the past 5 years I have never seen a police car there- and they cut off left turners from dodging the cone....this situation is insane... we need help before someone is seriously injured....	Pothole
Rubbish in alley	Rubbish Collection
Rubbish in alley	Rubbish Collection
Mattresses in alley	Rubbish Collection
Televisions & mattresses in the rear	Rubbish Collection
Piled rubbish on vacant lot	Rubbish Collection
Street light pole is out on right hand side, the whole block is pitch dark .	Street Lights
This part of Dickey Road is cracking open yet again. It seems they patch "some" of the holes but not all of them. There is a deep hole eastbound just east of the tracks that has been there for months! Cars swerve to avoid it and I have seen several near misses because of that one hole! Please fix the entire stretch of this road before winter...tracks included!	Pothole
Discarded rugs on vacant lot	Rubbish Collection
Discarded table on vacant lot	Rubbish Collection
Mattress in alley	Rubbish Collection
stop sign is bent	Street Signs
Street is burned out	Street Lights
Red Ford Explorer starting to grow weeds into it. On the corner.	Abandoned Vehicle
The entire sidewalk on the south part of Highland is completely cracked and damaged.... When it rains water rests on the sidewalk and you have to walk through deep puddles of water.. Also when it rains the entire sidewalk turns into mud because of all the grass that is growing onto the sidewalk. The carpenters union is not taking care of their parking lot and all the dirt from their lot where they have all kinds of weeds and foliage that they don’t tend to makes mud and adds to the problem....	Sidewalk - Damaged/Broken
I don’t know how this happened but it was locked and the bottom spike was in a hole. Could have been from snow plow or other equipment. Regardless my gate will not close and my property has been damaged.	Other
dishwasher, in alley.	Large Item Pickup
Broken glass and a dead animal that looks like a rabbit on the sidewalk and between the basketball court and sidewalk.	Environmental Issues
Big blue bounce house	Large Item Pickup
Can city of Hammond make some of this tipe of Signs for their residents ? Or we’re can I get one ☝️. The one in the picture is from Chicago thanks	Other
Yard sign up since October 2017	Code Violation
It is on 175 between northcotte and Indianapolis Blvd ... attracting bugs and flies etc	Dead Animal Pick-Up
	Large Item Pickup
Car lot used city garbage can for their use they supposed to have a  private company	Other
2466 White Oak has a huge stump that is rotted and has popped up the sidewalk	Unsafe Sidewalk Repair Program
The landlord came out 2 weeks ago to rod out the sewer, and it's backing up again....which leads me to believe it is a city sewer problem. can you please look into the issue?

It's very unsanitary, and costly for me to continue paying for the pipes inside to be rodded out if it's not a problem inside the house.

Thank you!!!

and Happy Holidays!	Other
Noticed a huge hornets/wasps next in my neighbors tree. Is this something the city can remove? The tree is next to the street. 6736 Ridgeland Hammond	Other
Misc junk in alley from house clean out.	Large Item Pickup
A couple of apx. 1 foot sections of 2 x 4 wood on the road in the intersection of Columbia and Southeastern.	Other
Mexican restaurant on highland and calumet Ave working on face of building no permits on display	Code Violation
Mexican El Rey Del Taco Restaurant on highland and calumet there are working on face of building no permits on display	Code Violation
white dodge avenger, back windows tinted, Illinois plates	Reciprocity - Out of State Plates
They did a great job of repaving 174th Street.
Are the other streets in the Southmoor subdivision going to be fixed any time soon? Park Place and 174th Place are in desperate need of re-paving!
The are very short streets so it wouldn't take too long!	Other
The street and sidewalk are blocked with garbage, buckets and roped off.  There isn’t any access to walk on the sidewalk, people have to walk in the street.	City Code Violation
1455 Ohio.....Owners  of red Buick Enclave and white Volvo station wagon live at this address. Illinois  plates! It has been well over 60 days. Many kids at this address attend Whiting school.	Auto - Expired or Out of State Plates
	Auto - Expired or Out of State Plates
Please fix the street light on 116th Central Ave	Street Light Issue
Refrigerator in alley to be picked up	Large Trash Item Pick-Up
Kids found a dog, tried to knock on the door of the building where they thought the dog belonged, but no answer.	Stray or Wild Animals
Blocking sidewalk for people to walk	Auto Parking Violation
parking cones in front of house everyday	Public Nuisance
White rusted Chevy cavalier on the corner of 117th and Central hasn’t moved for weeks and takes up residence parking. It never moves or is driven. Never seen anyone out with it. We think it’s been junked and are tired of it taking up parking for people with working cars.	Auto - Overtime Parked Vehicle
	Dead Animal Pick-Up
None of the water fountains at the little league field work. That, or they’re turned off. If the concession stand is closed, the teams have nothing to drink. With hotter days coming, this might not be a good thing.	Park & Playground Issues
Truck parked for over a month.	Auto - Overtime Parked Vehicle
burgundy sedan that has not moved in approximately 4 weeks	Auto - Overtime Parked Vehicle
Illinois plated vehicle parked in crosswalk of street corner of 117th and Central Ave in whiting.	Auto Parking Violation
Neighbor spray painting outdoors. Smells like paint all around	Public Nuisance
Man constantly has cones out to block parking, when cones are moved he yells and harasses anyone moving them. Please remove said cones	Auto Parking Violation
	Large Trash Item Pick-Up
119th road very icy, city needs to salt to prevent an accident!	Public Nuisance
3 ft wide. Hidden by puddle. Test.	Pothole
Cut underground cable, Giza contracting was digging and cut the cable	Damage Claim
Pedestal tire out and 25 pair line damaged	Damage Claim
I believe it is an Aah tree.  It is also intertwined with the power line.  Last I have had so drains back up in my basement which could be due to tree roots.	Tree Removal
	Yard Waste Pickup Request
Pick up yard waste	Yard Waste Pickup Request
	Yard Waste Pickup Request
	Yard Waste Pickup Request
	Yard Waste Pickup Request
3 bags to be picked-up	Yard Waste Pickup Request
please don't forget this site and check the back and West side yards.  Thanks	Property Nuisance Complaint
A large collection of junk is accumulating in the back yard, which is very visible from 16th Street.	Property Nuisance Complaint
	Tree Trimming
1 lawn bag full	Yard Waste Pickup Request
tall tree growth from bottom of tree truck block view to traffic on North 15Th Street. Overgrowth of bushes hang over sidewalk and also obstruct view of on coming traffic making it difficult to safely enter the street from driveway and/or alley.	Tall grass/weeds/vegetation
	Tree Trimming
I'm respectfully requesting that a plow goes down this street on 3/12/19. The road as it is is currently a safety hazard and could cause major damage to a vehicle.	Streets
This is more about all of North 14th Street. This street needs to be replaced. The pothole filler is not working. This street goes from Central to the north. It is pothole city.	Pothole
Alley behind 1421 2nd Ave north needs some work. Large potholes.	Alley Repair
Mattress on neighbors open porch for nearly 2 years. The house is located on the corner of 4TH Ave North and 15th. 2 story brown house. Can we please make them get rid of it. Today is their city clean up day, a perfect time to dispose of it. Stevenson owns and lives in the home.	Other
tree damaged in May storm, wondering if it should come down	Tree Removal
6 bags	Yard Waste Pickup Request
4bags of yard waste pick up
1120 14th ave north	Yard Waste Pickup Request
This is an ongoing problem.	Property Violation
	Property Violation
Third week in a row of blowing grass into the street. Will this be addressed?	Property Violation
Cass county Department of Human Services on Walnut street. Grass blown into street!!!	Property Violation
9 Cass Avenue raked their leaves into the street.	Property Violation
Tan car has been parked in the street for several months without being moved. The street sweeper has to go out and around it.	Property Violation
Grass is mowed into the street and covers the public sidewalk. This property has been reported numerous times. Can we get something done about it?	Property Violation
White SUV has been parked on the street with a brick blocking the rear tire for several months without being moved.	Property Violation
Addresses: 3 Cass Ave, 7 Cass Ave, 103 Cass Ave, 104 Cass Ave.	Tree Limbs
	Tree Limbs
Chestnut Charm Bed and Breakfast blows grass into the street!	Property Violation
Address: 1603 Waddell Dr, 1606 Waddell Dr.	Tree Limbs
Pellett Park - sink hole caused by storm sewer erosion	Storm Sewer
505 hazel	Snow Removal - Code Violation
Additional property violations	Snow Removal - Code Violation
	Property Violation
Brush behind carriage house; rodents living under shed behind carriage house	Property Violation
Hanging tree limb in city right of way, could fall on sidewalk, driveway, or street	Tree Limbs
Retaining wall is about to fall in neighbors driveway and weeds and voluntary trees are really tall on west side of yard	Property Violation
Sidewalk has not been cleared.	Snow Removal - Code Violation
pothole near SW of intersection	Parks and Playgrounds
	Overgrown Grass/Weed
needs mowing, especially along 6th St SW	Overgrown Grass/Weed
crosswalks and sidewalks need shoveling	Snow Removal from Public Sidewalk
	Overgrown Grass/Weed
	Overgrown Grass/Weed
Blue Couch in front yard	Garbage
needs mowing along 6th st se	Overgrown Grass/Weed
needs mowing, especially along 6th St Se	Overgrown Grass/Weed
	Overgrown Grass/Weed
Grass needs to be mowed	Overgrown Grass/Weed
Empty Grassy Lot Needs Mowing	Overgrown Grass/Weed
sidewalk and crosswalk need shoveling	Snow Removal from Public Sidewalk
	Overgrown Grass/Weed
	Overgrown Grass/Weed
sidewalks and crosswalks need shoveling	Snow Removal from Public Sidewalk
	Snow Removal from Public Sidewalk
needs mowing	Overgrown Grass/Weed
	Overgrown Grass/Weed
	Overgrown Grass/Weed
sidewalks and crosswalks need shoveling	Snow Removal from Public Sidewalk
This appears to be a daycare but there is permanently toys & junk on every inch of the yard & parking.	Code Enforcement Issue
You can Find and Thank The Big White Dually with Amber lights across the cab
 that ran through it not once but twice 4/29 at 0200	Traffic or Street Sign Issue
Tall Weeds and Grass Unmowed in backyard Big Dead branches on sidewalk and yard Wild Life habit	Other
Tall Weeds Cockoburrs weeds at Mid American Site needs removed	Other
Cottonwood Trail really starting to heave. Definitely a safety hazard for both walkers and bicyclists.	Park/Trail Issue
Tall Weeds and Grass (Maybe some grass) unmowed backyard Large dead branches on sidewalk and yard	Other
	Code Enforcement Issue
	Code Enforcement Issue
weeds and junk	Code Enforcement Issue
	Code Enforcement Issue
handcap access not finished	Sidewalk Issue
	Code Enforcement Issue
tripping hazard uneven sidewalk	Sidewalk Issue
	Code Enforcement Issue
	Code Enforcement Issue
	Code Enforcement Issue
	Code Enforcement Issue
	Code Enforcement Issue
	Code Enforcement Issue
The dump absolutely reeks this morning. Horrible stench of garbage from my front door.	Odor
	Odor
The smells from the Shawnee dump as awful. Please fix it and get waste management to do their job. This is ridiculous. Years and years go by and nothing improves. Shut it down!	Odor
Dump smell	Odor
For the 4th or 5th consecutive day, the dump reeks of rotting garbage. Even though my first report has been closed, the stench remains. Please close the dump or fine waste management or just do anything at all to show the citizens matter. This is really awful.	Odor
Smells like the dump	Odor
Odor from the dump	Odor
	Odor
Waste Mismanagement smells yet again. Time to spin the wheel of excuses: too hot, too cold, too wet, too dry, old equipment, new equipment. So tired of the smells.	Odor
heavy odor from deffenbaugh landfill this morning.	Odor
I can smell the dump from my house. It’s disgusting. Is there any effort to fix this or to hold waste management responsible?	Odor
It smells absolutely horrendous. My family can’t go outside without eyes watering. Horrible way to treat shawnee residents!  We had a tennis match and the opposing team from prairie village asked
‘How could you ever live out here?’	Odor
awful stench from Deffenbaugh today all around Lake Quivira	Odor
Odor all across lake	Odor
awful odor from the landfill all this week	Odor
	Odor
The dump reeks today. It’s awful, as usual. Does anyone at waste management know how to manage waste? This is disgusting and isn’t getting any better.	Odor
Tree limbs, high grass	Trees
	High Grass / Weeds
Major main break	Water Distribution Issue
please remove trash and debris along the alley	Trash and Recycling
Resident hasn't mowed the yard at all. There is trash which has not been picked up. Raccoons have scattered it all over the yard. Couch sitting on the deck since Christmas and have another piece of furniture. Resident at 603 is complaining.	High Grass / Weeds
Stop sign is about a foot off the ground. Needs attention. On Stilwell at corner of Stilwell and Jefferson.	Signs & Signals Issue
Broken glass on road	Stormwater (Drainage Issue,Illicit Discharge)
	High Grass / Weeds
No street identifying signs at the corner of Rouse and Jefferson.	Signs & Signals Issue
Water leak	Water Distribution Issue
remove form board /excavate find source of infiltration and repair	Stormwater (Drainage Issue,Illicit Discharge)
